Date,Toy_ID,Toy_Name,Category,Sales,Price
2018-01-01,A01,Robot,Building,16.0,250
2018-01-01,A02,Lego,Building,6.0,200
2018-01-01,B01,Crayon,Art,8.0,50
2018-01-01,B02,Clay,Art,14.0,20
2018-01-01,C01,Doll,Stress Relief,50.0,100
2018-01-02,A01,Robot,Building,16.0,250
2018-01-02,A02,Lego,Building,6.0,200
2018-01-02,B01,Crayon,Art,8.0,50
2018-01-02,B02,Clay,Art,26.0,20
2018-01-02,C01,Doll,Stress Relief,48.0,100
2018-01-03,A01,Robot,Building,18.0,250
2018-01-03,A02,Lego,Building,6.0,200
2018-01-03,B01,Crayon,Art,14.0,50
2018-01-03,B02,Clay,Art,30.0,20
2018-01-03,C01,Doll,Stress Relief,50.0,100
2018-01-04,A01,Robot,Building,16.0,250
2018-01-04,A02,Lego,Building,6.0,200
2018-01-04,B01,Crayon,Art,14.0,50
2018-01-04,B02,Clay,Art,14.0,20
2018-01-04,C01,Doll,Stress Relief,50.0,100
2018-01-05,A01,Robot,Building,14.0,250
2018-01-05,A02,Lego,Building,4.0,200
2018-01-05,B01,Crayon,Art,2.0,50
2018-01-05,B02,Clay,Art,14.0,20
2018-01-05,C01,Doll,Stress Relief,40.0,100
2018-01-06,A01,Robot,Building,14.0,250
2018-01-06,A02,Lego,Building,4.0,200
2018-01-06,B01,Crayon,Art,12.0,50
2018-01-06,B02,Clay,Art,6.0,20
2018-01-06,C01,Doll,Stress Relief,48.0,100
2018-01-07,A01,Robot,Building,16.0,250
2018-01-07,A02,Lego,Building,6.0,200
2018-01-07,B01,Crayon,Art,10.0,50
2018-01-07,B02,Clay,Art,10.0,20
2018-01-07,C01,Doll,Stress Relief,46.0,100
2018-01-08,A01,Robot,Building,14.0,250
2018-01-08,A02,Lego,Building,4.0,200
2018-01-08,B01,Crayon,Art,10.0,50
2018-01-08,B02,Clay,Art,28.0,20
2018-01-08,C01,Doll,Stress Relief,50.0,100
2018-01-09,A01,Robot,Building,12.0,250
2018-01-09,A02,Lego,Building,4.0,200
2018-01-09,B01,Crayon,Art,12.0,50
2018-01-09,B02,Clay,Art,6.0,20
2018-01-09,C01,Doll,Stress Relief,46.0,100
2018-01-10,A01,Robot,Building,16.0,250
2018-01-10,A02,Lego,Building,6.0,200
2018-01-10,B01,Crayon,Art,14.0,50
2018-01-10,B02,Clay,Art,26.0,20
2018-01-10,C01,Doll,Stress Relief,46.0,100
2018-01-11,A01,Robot,Building,14.0,250
2018-01-11,A02,Lego,Building,4.0,200
